step,loss,recon,kl,lr
1,0.8853424787521362,0.7867241501808167,0.09861832857131958,0.0001
2,1.666465401649475,0.7878050804138184,0.8786603212356567,0.0001
3,0.9710034132003784,0.7777658104896545,0.19323758780956268,0.0001
4,0.9695425033569336,0.774129331111908,0.19541314244270325,0.0001
5,0.9565949440002441,0.7712664008140564,0.18532857298851013,0.0001
6,0.9229555130004883,0.7723857760429382,0.15056973695755005,0.0001
7,0.8759109973907471,0.762939453125,0.11297151446342468,0.0001
8,0.8452551960945129,0.7645228505134583,0.08073234558105469,0.0001
9,0.8081375956535339,0.7646771669387817,0.043460406363010406,0.0001
10,0.7822737097740173,0.760300874710083,0.02197282761335373,0.0001
11,0.7771059274673462,0.7512879967689514,0.025817904621362686,0.0001
12,0.7827534675598145,0.7532397508621216,0.029513709247112274,0.0001
13,0.7877533435821533,0.746772050857544,0.04098131135106087,0.0001
14,0.7853922843933105,0.7484799027442932,0.03691237047314644,0.0001
15,0.7733439803123474,0.7423052787780762,0.031038697808980942,0.0001
16,0.7719703912734985,0.7429056763648987,0.029064733535051346,0.0001
17,0.7649286389350891,0.7423734664916992,0.0225551575422287,0.0001
18,0.7587009072303772,0.7427950501441956,0.015905864536762238,0.0001
19,0.7428646683692932,0.7339351177215576,0.00892956554889679,0.0001
20,0.7407975792884827,0.7321344614028931,0.008663125336170197,0.0001
21,0.7402146458625793,0.7338131070137024,0.006401520222425461,0.0001
22,0.7473391890525818,0.7358189225196838,0.011520285159349442,0.0001
23,0.7364635467529297,0.7232277989387512,0.01323576271533966,0.0001
24,0.7392446994781494,0.728277862071991,0.010966844856739044,0.0001
25,0.7470165491104126,0.7287412881851196,0.018275275826454163,0.0001
26,0.7461204528808594,0.726876437664032,0.019244011491537094,0.0001
27,0.7279695868492126,0.7192668318748474,0.008702781051397324,0.0001
28,0.7377380728721619,0.7282681465148926,0.009469941258430481,0.0001
29,0.7285435199737549,0.7242307066917419,0.004312802106142044,0.0001
30,0.7542479038238525,0.717043936252594,0.037203941494226456,0.0001
31,0.7201108336448669,0.7075328230857849,0.012577984482049942,0.0001
32,0.7181870341300964,0.7099263072013855,0.008260726928710938,0.0001
33,0.736128032207489,0.7198382616043091,0.016289792954921722,0.0001
34,0.7154305577278137,0.708310067653656,0.007120516151189804,0.0001
35,0.7158134579658508,0.7059123516082764,0.009901132434606552,0.0001
36,0.7150367498397827,0.7038900852203369,0.011146683245897293,0.0001
37,0.7134130001068115,0.7076565623283386,0.005756407976150513,0.0001
38,0.7062020301818848,0.7013062834739685,0.004895750433206558,0.0001
39,0.699889600276947,0.6948960423469543,0.00499354675412178,0.0001
40,0.7047417163848877,0.7015010118484497,0.0032406896352767944,0.0001
41,0.6964508295059204,0.6884645223617554,0.007986322045326233,0.0001
42,0.7030942440032959,0.694156289100647,0.008937928825616837,0.0001
43,0.7073361873626709,0.6989427804946899,0.008393429219722748,0.0001
44,0.6955191493034363,0.6918845772743225,0.003634568303823471,0.0001
45,0.6911600232124329,0.6884942650794983,0.002665739506483078,0.0001
46,0.6966670751571655,0.6898370385169983,0.0068300142884254456,0.0001
47,0.6822894215583801,0.6803234219551086,0.0019660145044326782,0.0001
48,0.6847677826881409,0.6824839115142822,0.0022838711738586426,0.0001
49,0.6863957047462463,0.6832261681556702,0.0031695254147052765,0.0001
50,0.6890010833740234,0.6811007857322693,0.007900290191173553,0.0001
51,0.6749719381332397,0.6724327206611633,0.0025392211973667145,0.0001
52,0.6837571859359741,0.6811205148696899,0.0026366636157035828,0.0001
53,0.6739171743392944,0.6714234352111816,0.002493765205144882,0.0001
54,0.6773489713668823,0.6752226948738098,0.002126295119524002,0.0001
55,0.6757202744483948,0.6737902760505676,0.0019299797713756561,0.0001
