step,L,recon,kl,lambda,C,C_bar,lr
1,1287.202880859375,0.9880732297897339,1286.263916015625,1.0009385347366333,0.9380732178688049,0.009380731731653214,0.0001
2,896.78173828125,0.9411219358444214,895.88818359375,1.002761721611023,0.8911219239234924,0.01819814369082451,0.0001
3,652.8075561523438,0.9111203551292419,651.9417724609375,1.0054353475570679,0.861120343208313,0.02662736549973488,0.0001
4,539.9736938476562,0.8868091106414795,539.12939453125,1.008933186531067,0.8368090987205505,0.034729182720184326,0.0001
5,458.7210693359375,0.8597827553749084,457.90057373046875,1.013228178024292,0.8097827434539795,0.04247971996665001,0.0001
6,382.4915466308594,0.8434121608734131,381.6836242675781,1.018306016921997,0.7934121489524841,0.04998904466629028,0.0001
7,331.58746337890625,0.8308421969413757,330.7877502441406,1.0241572856903076,0.7808421850204468,0.05729757621884346,0.0001
8,279.3063049316406,0.8194605708122253,278.5131530761719,1.0307762622833252,0.7694605588912964,0.0644192025065422,0.0001
9,253.94105529785156,0.805962324142456,253.15625,1.038155436515808,0.7559623122215271,0.07133463025093079,0.0001
10,226.39544677734375,0.8005570769309998,225.61013793945312,1.0462980270385742,0.7505570650100708,0.07812685519456863,0.0001
11,188.51882934570312,0.7820844650268555,187.746337890625,1.0551942586898804,0.7320844531059265,0.0846664309501648,0.0001
12,175.7310333251953,0.7719928026199341,174.96221923828125,1.0648446083068848,0.7219927906990051,0.09103969484567642,0.0001
13,144.88941955566406,0.7621099948883057,144.12371826171875,1.0752508640289307,0.7121099829673767,0.09725040197372437,0.0001
14,132.6758575439453,0.7525528073310852,131.91259765625,1.0864160060882568,0.7025527954101562,0.10330342501401901,0.0001
15,118.322998046875,0.7508180141448975,117.55325317382812,1.098353385925293,0.7008180022239685,0.10927857458591461,0.0001
16,100.50409698486328,0.7466198801994324,99.7301025390625,1.1110742092132568,0.6966198682785034,0.11515198647975922,0.0001
17,97.59284210205078,0.8042869567871094,96.74452209472656,1.1246609687805176,0.7542869448661804,0.12154334038496017,0.0001
18,83.08647918701172,0.7669119834899902,82.26985168457031,1.139091968536377,0.7169119715690613,0.12749701738357544,0.0001
19,72.07852935791016,0.7248603701591492,71.29951477050781,1.1543395519256592,0.6748603582382202,0.1329706460237503,0.0001
20,65.29625701904297,0.7447702884674072,64.48306274414062,1.1704487800598145,0.6947702765464783,0.13858863711357117,0.0001
21,59.22807312011719,0.7096274495124817,58.44483184814453,1.1874014139175415,0.6596274375915527,0.14379902184009552,0.0001
22,59.192718505859375,0.7242584824562073,58.38007736206055,1.2052385807037354,0.6742584705352783,0.14910361170768738,0.0001
23,54.30363464355469,0.7241564989089966,53.478477478027344,1.223986268043518,0.6741564869880676,0.15435414016246796,0.0001
24,47.17374038696289,0.7099622488021851,46.35297393798828,1.2436541318893433,0.6599622368812561,0.15941022336483002,0.0001
25,43.061058044433594,0.7059608697891235,42.23175048828125,1.264265775680542,0.6559608578681946,0.16437573730945587,0.0001
26,40.0819091796875,0.7255043983459473,39.213294982910156,1.2858761548995972,0.6755043864250183,0.16948701441287994,0.0001
27,41.618934631347656,0.704008162021637,40.7631721496582,1.3084895610809326,0.654008150100708,0.17433221638202667,0.0001
28,33.58906936645508,0.7047843337059021,32.71680450439453,1.3321406841278076,0.6547843217849731,0.1791367381811142,0.0001
