step,loss,recon,kl,lr
1,0.8853424787521362,0.7867241501808167,0.09861832857131958,0.0001
2,1.6664658784866333,0.7878051996231079,0.8786606788635254,0.0001
3,0.9709740281105042,0.7777621746063232,0.1932118535041809,0.0001
4,0.9695487022399902,0.7741355299949646,0.19541317224502563,0.0001
5,0.9566292762756348,0.7712636590003967,0.18536558747291565,0.0001
6,0.9230791330337524,0.7724083662033081,0.15067073702812195,0.0001
7,0.8760274648666382,0.7629535794258118,0.1130739077925682,0.0001
8,0.8454041481018066,0.7645073533058167,0.08089680969715118,0.0001
9,0.8081591129302979,0.7647218108177185,0.04343729838728905,0.0001
10,0.7823955416679382,0.7603758573532104,0.022019658237695694,0.0001
11,0.7769904136657715,0.7511528134346008,0.025837618857622147,0.0001
12,0.7826418876647949,0.7532318234443665,0.029410071671009064,0.0001
13,0.7878748774528503,0.7467911243438721,0.04108372703194618,0.0001
14,0.7854320406913757,0.7483611702919006,0.0370708666741848,0.0001
15,0.7736039161682129,0.7422713041305542,0.03133262321352959,0.0001
16,0.7718948721885681,0.7428154945373535,0.0290793739259243,0.0001
17,0.7651175856590271,0.7425183057785034,0.02259928733110428,0.0001
18,0.7585700750350952,0.7427798509597778,0.015790220350027084,0.0001
19,0.7429502010345459,0.7340085506439209,0.008941631764173508,0.0001
20,0.7409460544586182,0.7321284413337708,0.008817598223686218,0.0001
21,0.7401717305183411,0.7337671518325806,0.006404604762792587,0.0001
22,0.7474961280822754,0.7359047532081604,0.01159140095114708,0.0001
23,0.7369805574417114,0.7234002947807312,0.013580232858657837,0.0001
24,0.7394418120384216,0.7282953858375549,0.011146418750286102,0.0001
25,0.7472606897354126,0.7287525534629822,0.018508143723011017,0.0001
26,0.7459680438041687,0.7267425656318665,0.01922549307346344,0.0001
27,0.7277905344963074,0.7191059589385986,0.00868460163474083,0.0001
28,0.7376427054405212,0.7282826900482178,0.009360037744045258,0.0001
29,0.7284899950027466,0.7241238951683044,0.004366088658571243,0.0001
30,0.7546565532684326,0.7170097231864929,0.037646837532520294,0.0001
31,0.7200899124145508,0.707564651966095,0.012525275349617004,0.0001
32,0.7180304527282715,0.7097463607788086,0.008284073323011398,0.0001
33,0.7362120747566223,0.719902753829956,0.016309328377246857,0.0001
34,0.7153820395469666,0.7079806923866272,0.007401321083307266,0.0001
